                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0887,                0.59247,                 1.0301,                 0.8295,                0.51984,                0.55984,                0.32353,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     67,                 1.0938,                0.58759,                 1.0315,                0.87161,                0.49635,                0.55913,                0.32565,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                     68,                  1.072,                0.57666,                 1.0219,                0.85217,                0.50325,                0.55574,                0.32523,                    nan,                    nan,                    nan,               0.003367,               0.003367,               0.003367
                     69,                 1.0985,                 0.5883,                 1.0343,                0.85902,                0.49869,                0.55436,                0.32495,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                     70,                 1.0732,                0.57474,                 1.0277,                 0.8565,                0.50425,                0.55462,                0.32637,                    nan,                    nan,                    nan,               0.003169,               0.003169,               0.003169
                     71,                 1.0843,                0.58232,                  1.028,                0.84234,                0.50266,                0.54969,                0.32135,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     72,                 1.0645,                0.56533,                  1.024,                 0.8526,                0.49732,                0.55194,                0.32179,                    nan,                    nan,                    nan,               0.002971,               0.002971,               0.002971
                     73,                 1.0483,                0.55584,                 1.0183,                0.84628,                 0.4962,                0.55305,                0.32259,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     74,                 1.0631,                0.57065,                 1.0209,                0.84133,                0.49586,                0.55474,                0.32452,                    nan,                    nan,                    nan,               0.002773,               0.002773,               0.002773
                     75,                 1.0402,                0.55199,                 1.0159,                0.83552,                0.49452,                0.55049,                0.32092,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                     76,                 1.0367,                0.55455,                 1.0089,                0.82155,                0.50743,                0.55468,                 0.3215,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                     77,                 1.0472,                0.55454,                 1.0114,                0.83223,                0.50139,                0.55593,                0.32459,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     78,                 1.0238,                0.54115,                 1.0043,                0.83137,                0.50658,                0.55676,                0.32495,                    nan,                    nan,                    nan,               0.002377,               0.002377,               0.002377
                     79,                 1.0289,                0.54195,                 1.0041,                 0.8386,                0.50745,                0.55824,                0.32816,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
